Topic_0,Topic_1,Topic_2
nitrogen,nitrogen,colombia
fertilization,use,sugarcane
use,fertilization,field
factory,fuel,cenicaña
fuel,variety,production
fossil,advance,university
consumption,energy,valley
energy,factory,cauca
reduction,guarantee,yield
stage,implementation,mill
among,le,state
require,contributed,river
productive,consumption,variety
efficient,efficient,use
thermal,precise,soil
replace,productive,used
bacteria,reduction,management
eventually,eventually,sector
reduced,sugarcane,control
contributed,require,available
electrical,stage,one
fixing,fossil,agriculture
guarantee,replace,plant
le,bacteria,agricultural
precise,thermal,water
implementation,work,time
work,reduced,service
sugarcane,electrical,process
advance,fixing,technical
variety,among,model
operating,harvest,energy
harvest,operating,harvest
colombia,harvesting,genetic
production,operational,transfer
source,nitrogenous,information
cenicaña,electricity,mass
process,ica,palmira
environmental,give,condition
improvement,varie,system
making,vvvvvamong,fuel
operational,fixer,new
harvesting,guideline,different
essential,educes,remote
university,vvamong,term
valley,fe,purpose
fixer,cient,center
electricity,include,work
river,fertilizer,technological
service,ation,growth
cauca,vamong,future
water,field,improvement
technical,colombia,analysis
agriculture,production,day
technological,cenicaña,trend
agricultural,making,well
field,yield,variable
plant,source,best
analysis,environmental,review
new,process,among
genetic,improvement,sustainability
model,university,adoption
sector,mill,objective
purpose,valley,characterization
soil,used,application
sustainability,technical,producer
center,mass,engineering
palmira,cauca,microorganism
application,control,matter
management,state,long
matter,river,following
state,palmira,allow
engineering,management,need
control,information,decision
nitrogenous,review,environmental
available,center,determined
network,agriculture,site
vamong,one,achieve
mill,application,stage
system,essential,zone
fertilizer,time,together
include,system,making
fe,objective,make
transfer,agricultural,present
ation,decision,implementation
guideline,model,specific
one,soil,harvesting
well,trend,marketing
cient,available,fertilization
vvamong,plant,network
producer,different,agro
educes,sector,strategic
growth,future,significant
give,remote,ecological
term,need,line
yield,together,health
following,service,mechanical
condition,new,ensure
ica,day,essential
achieve,transfer,precise
make,condition,organic
