Topic_0,Topic_1,Topic_2,Topic_3
product,farming,model,farmer
plant,service,based,food
training,access,system,change
management,technology,approach,climate
technology,mobile,water,disease
soil,food,project,international
analysis,country,climate,plant
science,africa,used,variety
laboratory,agricultural,investment,bean
facility,population,agricultural,technology
rice,high,yield,system
agricultural,international,new,production
production,gap,country,agricultural
line,farmer,management,use
number,internet,policy,region
result,asia,monitoring,one
available,study,international,cassava
biology,using,big,country
staff,use,environment,crop
plan,household,sustainable,work
improvement,cost,ecosystem,colombia
resource,farm,challenge,new
project,across,center,project
water,colombia,related,program
information,system,level,scientist
panel,yield,rainfall,drought
interest,climate,index,world
library,colombian,area,tool
service,level,across,africa
developed,health,effect,tropical
future,available,change,center
scientist,area,platform,information
food,however,impact,different
technique,need,africa,global
biotechnology,centre,hybrid,approach
study,driven,study,soil
programme,bean,use,pest
environment,production,region,study
system,line,result,water
area,solution,work,america
station,developed,production,image
centre,network,partner,rice
region,soil,rural,analysis
equipment,energy,analysis,researcher
well,based,four,impact
engineering,scale,maize,based
computer,one,different,land
quality,america,line,national
program,digital,group,two
country,sector,open,fish
variety,global,developing,area
international,community,tool,innovation
material,urban,market,model
control,particularly,livestock,yield
chemistry,non,information,year
level,innovation,learning,high
new,management,effort,university
molecular,new,grain,latin
culture,latin,knowledge,management
high,result,network,security
genetic,water,poverty,effort
element,crop,energy,better
biochemistry,breeding,paper,could
animal,solar,provide,level
conservation,globally,food,using
regional,sustainable,review,adoption
crop,model,set,developed
tissue,machine,key,regional
disease,average,goal,forage
lab,partner,productivity,environment
energy,analysis,benefit,decision
spectrophotometer,productivity,health,important
biodiversity,process,program,breeding
institute,tropical,global,institute
testing,still,estimate,result
integrated,effort,resistance,knowledge
related,value,issue,time
tropical,genetic,two,environmental
productivity,application,using,smallholder
pest,two,decision,among
recommendation,plant,resource,need
national,risk,method,resource
forest,programme,need,three
improved,recent,technology,set
focus,opportunity,drought,improved
germplasm,challenge,solar,million
biological,public,quality,partner
developing,time,human,variable
center,learning,modeling,season
university,disease,service,farming
characterization,important,condition,farm
processing,transfer,cloud,line
need,african,access,used
department,mission,innovation,stress
issue,world,cultivar,leaf
environmental,collaboration,weather,strategy
process,year,farmer,common
analytical,maize,year,developing
two,number,could,capacity
atomic,forest,risk,sustainable
